step,epoch,epoch_step,loss,learn_rate
77001,1,77001,0.1524984,0.005
77501,1,77501,0.1766123,0.005
78001,1,78001,0.1355897,0.005
78501,1,78501,0.0711311,0.005
79001,1,79001,0.1297143,0.005
79501,1,79501,0.1299116,0.005
80001,1,80001,0.1691978,0.005
80501,1,80501,0.1744879,0.005
81001,1,81001,0.1395800,0.005
81501,1,81501,0.1013860,0.005
82001,1,82001,0.1252955,0.005
82501,1,82501,0.0994364,0.005
83001,1,83001,0.1218826,0.005
83501,1,83501,0.1372689,0.005
84001,1,84001,0.1275408,0.005
84501,1,84501,0.1227926,0.005
85001,1,85001,0.1186033,0.005
85501,1,85501,0.0733693,0.005
86001,1,86001,0.0950751,0.005
86501,1,86501,0.0861686,0.005
87001,1,87001,0.1198019,0.005
87501,1,87501,0.1124674,0.005
88001,1,88001,0.1285339,0.005
88501,1,88501,0.1125585,0.005
89001,1,89001,0.1714904,0.005
89501,1,89501,0.1681779,0.005
90001,1,90001,0.1383408,0.005
90501,1,90501,0.1284616,0.005
91001,1,91001,0.0926761,0.005
91501,1,91501,0.1199119,0.005
92001,1,92001,0.1589111,0.005
92501,1,92501,0.1519239,0.005
93001,1,93001,0.1375646,0.005
93501,1,93501,0.1914373,0.005
94001,1,94001,0.0950722,0.005
94501,1,94501,0.1139369,0.005
95001,1,95001,0.0897269,0.005
95501,1,95501,0.1536835,0.005
96001,1,96001,0.1361226,0.005
96501,1,96501,0.1273868,0.005
97001,1,97001,0.1208571,0.005
97501,1,97501,0.1051923,0.005
98001,1,98001,0.1377986,0.005
98501,1,98501,0.2027858,0.005
99001,1,99001,0.0872057,0.005
99501,1,99501,0.1354475,0.005
100001,1,100001,0.1174172,0.005
100501,1,100501,0.1403950,0.005
101001,1,101001,0.1277413,0.005
101501,1,101501,0.0979218,0.005
102001,1,102001,0.1399571,0.005
102501,1,102501,0.0920678,0.005
103001,1,103001,0.0994169,0.005
103501,1,103501,0.1029613,0.005
104001,1,104001,0.1544013,0.005
104501,1,104501,0.1108785,0.005
105001,1,105001,0.1358610,0.005
105501,1,105501,0.0999503,0.005
106001,1,106001,0.1010684,0.005
106501,1,106501,0.1045724,0.005
107001,1,107001,0.1019318,0.005
107501,1,107501,0.1419496,0.005
108001,1,108001,0.1261543,0.005
108501,1,108501,0.1017788,0.005
109001,1,109001,0.0578168,0.005
109501,1,109501,0.1785247,0.005
110001,1,110001,0.1635983,0.005
110501,1,110501,0.1264888,0.005
111001,1,111001,0.1788341,0.005
111501,1,111501,0.1286764,0.005
112001,1,112001,0.1192190,0.005
112501,1,112501,0.1378304,0.005
113001,1,113001,0.0982985,0.005
113501,1,113501,0.0841780,0.005
114001,1,114001,0.1259875,0.005
114501,1,114501,0.1099626,0.005
115001,1,115001,0.1067088,0.005
115501,1,115501,0.1394973,0.005
116001,1,116001,0.1505309,0.005
116501,1,116501,0.1031713,0.005
117001,1,117001,0.1506582,0.005
117501,1,117501,0.1429797,0.005
118001,1,118001,0.1425088,0.005
118501,1,118501,0.1932965,0.005
119001,1,119001,0.1560512,0.005
119501,1,119501,0.1584758,0.005
120001,1,120001,0.1279489,0.005
120501,2,11,0.1475639,0.005
