step,epoch,epoch_step,loss,learn_rate
77501,10,6779,0.1110368,0.005
78001,10,7279,0.1221106,0.005
78501,10,7779,0.1213763,0.005
79001,11,421,0.1247328,0.005
79501,11,921,0.1146005,0.005
80001,11,1421,0.1394585,0.005
80501,11,1921,0.1361960,0.005
81001,11,2421,0.0645324,0.005
81501,11,2921,0.1117185,0.005
82001,11,3421,0.1169644,0.005
82501,11,3921,0.1747200,0.005
83001,11,4421,0.0889628,0.005
83501,11,4921,0.1552449,0.005
84001,11,5421,0.1389450,0.005
84501,11,5921,0.0880092,0.005
85001,11,6421,0.1564437,0.005
85501,11,6921,0.1782070,0.005
86001,11,7421,0.1111329,0.005
86501,12,63,0.1423852,0.005
87001,12,563,0.0959879,0.005
87501,12,1063,0.0989523,0.005
88001,12,1563,0.1847031,0.005
88501,12,2063,0.0897479,0.005
89001,12,2563,0.1408011,0.005
89501,12,3063,0.1680622,0.005
90001,12,3563,0.1089350,0.005
90501,12,4063,0.1497931,0.005
91001,12,4563,0.1862974,0.005
91501,12,5063,0.0995966,0.005
92001,12,5563,0.1446215,0.005
92501,12,6063,0.1525574,0.005
93001,12,6563,0.1108577,0.005
93501,12,7063,0.0799309,0.005
94001,12,7563,0.0945683,0.005
94501,13,205,0.0818753,0.005
95001,13,705,0.1062995,0.005
95501,13,1205,0.0839574,0.005
96001,13,1705,0.0969620,0.005
96501,13,2205,0.1087059,0.005
97001,13,2705,0.1884455,0.005
97501,13,3205,0.1441762,0.005
98001,13,3705,0.0880187,0.005
98501,13,4205,0.1891788,0.005
99001,13,4705,0.1117537,0.005
99501,13,5205,0.1458401,0.005
100001,13,5705,0.1102158,0.005
100501,13,6205,0.1265411,0.005
101001,13,6705,0.1419890,0.005
101501,13,7205,0.1251163,0.005
102001,13,7705,0.1176324,0.005
102501,14,347,0.1276604,0.005
103001,14,847,0.1488794,0.005
103501,14,1347,0.1175550,0.005
104001,14,1847,0.1695489,0.005
104501,14,2347,0.1305903,0.005
105001,14,2847,0.1234788,0.005
105501,14,3347,0.1033003,0.005
106001,14,3847,0.1586880,0.005
106501,14,4347,0.0979417,0.005
107001,14,4847,0.1178639,0.005
107501,14,5347,0.1380676,0.005
108001,14,5847,0.1026266,0.005
108501,14,6347,0.1198212,0.005
109001,14,6847,0.1790632,0.005
109501,14,7347,0.1225431,0.005
110001,14,7847,0.0892902,0.005
110501,15,489,0.1108513,0.005
111001,15,989,0.1398178,0.005
111501,15,1489,0.0752839,0.005
112001,15,1989,0.1335446,0.005
112501,15,2489,0.1462722,0.005
113001,15,2989,0.1045824,0.005
113501,15,3489,0.1057540,0.005
114001,15,3989,0.1561961,0.005
114501,15,4489,0.1284064,0.005
115001,15,4989,0.1283122,0.005
115501,15,5489,0.1259106,0.005
116001,15,5989,0.1247772,0.005
116501,15,6489,0.1225012,0.005
117001,15,6989,0.1399970,0.005
117501,15,7489,0.0854837,0.005
118001,16,131,0.1713063,0.005
118501,16,631,0.1362341,0.005
119001,16,1131,0.1444277,0.005
119501,16,1631,0.1172606,0.005
120001,16,2131,0.1402797,0.005
120501,16,2631,0.1464031,0.005
121001,16,3131,0.1360134,0.005
121501,16,3631,0.1183078,0.005
122001,16,4131,0.1098053,0.005
122501,16,4631,0.1295752,0.005
123001,16,5131,0.1225308,0.005
123501,16,5631,0.1287020,0.005
124001,16,6131,0.1817944,0.005
124501,16,6631,0.1272446,0.005
125001,16,7131,0.1486038,0.005
125501,16,7631,0.0787203,0.005
126001,17,273,0.1629168,0.005
126501,17,773,0.0767903,0.005
127001,17,1273,0.1097951,0.005
127501,17,1773,0.1334553,0.005
128001,17,2273,0.1172452,0.005
128501,17,2773,0.1564369,0.005
129001,17,3273,0.1507487,0.005
129501,17,3773,0.1115978,0.005
130001,17,4273,0.1239891,0.005
130501,17,4773,0.1622707,0.005
131001,17,5273,0.1456562,0.005
131501,17,5773,0.0955923,0.005
132001,17,6273,0.1341418,0.005
132501,17,6773,0.1241538,0.005
133001,17,7273,0.1401211,0.005
133501,17,7773,0.1246519,0.005
134001,18,415,0.1551333,0.005
134501,18,915,0.1401047,0.005
135001,18,1415,0.0971012,0.005
135501,18,1915,0.1729457,0.005
136001,18,2415,0.0936183,0.005
136501,18,2915,0.1172570,0.005
137001,18,3415,0.1668511,0.005
137501,18,3915,0.1317442,0.005
138001,18,4415,0.0963212,0.005
138501,18,4915,0.1068668,0.005
139001,18,5415,0.1192801,0.005
